customer_id,first_name,last_name,email,country,subscription_plan,customer_status,signup_date
C064,Dolun,Bilge,dolun.bilge@hotmail.com,Türkiye,Enterprise,Inactive,2023-03-23
C065,Colleen,Skinner,colleen.skinner@outlook.com,Australia,Pro,Active,2024-12-25
C066,William,Gonzalez,william.gonzalez@yahoo.com,Canada,Enterprise,Inactive,2024-04-29
C067,Nathaniel,Martin,nathaniel.martin@outlook.com,Australia,Enterprise,Active,2024-11-11
C068,Stephanie,Nielsen,stephanie.nielsen@yahoo.com,Canada,Enterprise,Inactive,2024-05-23
C069,Samantha,George,samantha.george@gmail.com,United States,Basic,Active,2025-08-21
C070,Tracy,Rodriguez,tracy.rodriguez@yahoo.com,United States,Basic,Inactive,2024-04-11
C071,Michael,Galloway,michael.galloway@outlook.com,United States,Basic,Active,2023-05-23
C072,Lindsay,Allen,lindsay.allen@hotmail.com,Singapore,Basic,Active,2026-01-03
C073,John,Bradley,john.bradley@gmail.com,United States,Basic,Churned,2024-01-01
C074,Damian,Caspar,damian.caspar@hotmail.com,Germany,Basic,Active,2024-12-08
C075,Jessica,Cabrera,jessica.cabrera@hotmail.com,Canada,Basic,Churned,2023-08-25
C076,Tiffany,Patel,tiffany.patel@outlook.com,United States,Basic,Inactive,2023-01-04
C077,Malcolm,Clarke,malcolm.clarke@outlook.com,United Kingdom,Basic,Active,2024-11-07
C078,Willibald,Rogner,willibald.rogner@gmail.com,Germany,Pro,Active,2024-09-25
C079,Guenter,Hettner,guenter.hettner@hotmail.com,Germany,Basic,Active,2023-09-18
C080,Allison,Obrien,allison.obrien@yahoo.com,United States,Pro,Churned,2026-06-14
C081,Phillip,Murray,phillip.murray@yahoo.com,United Kingdom,Pro,Active,2024-08-10
C082,Karina,Vaughn,karina.vaughn@hotmail.com,United States,Pro,Active,2024-03-13
C083,Graeme,Matthews,graeme.matthews@outlook.com,United Kingdom,Pro,Active,2026-06-22
C084,Emily,Brooks,emily.brooks@outlook.com,United States,Pro,Active,2024-02-12
C085,Rachel,Hayes,rachel.hayes@gmail.com,United States,Basic,Active,2023-05-30
C086,Louis,Wilson,louis.wilson@outlook.com,United Kingdom,Pro,Active,2025-03-29
C087,Matthew,Chapman,matthew.chapman@gmail.com,United States,Enterprise,Inactive,2023-08-07
C088,Jerry,Robinson,jerry.robinson@outlook.com,Canada,Basic,Churned,2025-11-26
C089,Steven,Walters,steven.walters@outlook.com,United Kingdom,Enterprise,Active,2023-10-01
C090,Bryan,Oennen,bryan.oennen@hotmail.com,Netherlands,Enterprise,Inactive,2026-06-08
C091,Colin,Borman,colin.borman@yahoo.com,Netherlands,Enterprise,Active,2023-11-22
C092,Michele,Jones,michele.jones@yahoo.com,Canada,Pro,Inactive,2024-07-21
C093,John,Caldwell,john.caldwell@yahoo.com,Canada,Pro,Active,2023-06-08
C094,Jason,Anderson,jason.anderson@outlook.com,Canada,Basic,Active,2026-01-11
C095,Selena,Duncan,selena.duncan@outlook.com,United States,Basic,Active,2024-03-14
C096,Bitül,Yüksel,bitul.yuksel@yahoo.com,Türkiye,Basic,Active,2023-05-08
C097,Kristen,Aguirre,kristen.aguirre@yahoo.com,United States,Basic,Inactive,2023-02-10
C098,Jonathan,Geneart,jonathan.geneart@yahoo.com,Netherlands,Pro,Churned,2024-09-03
C099,Collin,Jordan,collin.jordan@yahoo.com,Canada,Pro,Inactive,2026-05-20
C100,Rodney,Owens,rodney.owens@yahoo.com,Australia,Basic,Active,2023-03-01
